Title,Author,Avg rating,Number of Ratings,Year Published,Score
"Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration",Ed Catmull,4.22,91854,2014,10.1630981
Four Thousand Weeks: Time Management for Mortals,Oliver Burkeman,4.23,72916,2021,10.1628228
Conversations on Love,Natasha Lunn,4.28,22776,2021,10.1574775
The Culture Code: The Secrets of Highly Successful Groups,Daniel Coyle,4.27,28528,2017,10.1552713
Living with a SEAL: 31 Days Training with the Toughest Man on the Planet,Jesse Itzler,4.29,17844,2015,10.1514922
Awareness: The Perils and Opportunities of Reality,Anthony de Mello,4.3,14015,1990,10.1465931
Building a StoryBrand: Clarify Your Message So Customers Will Listen,Donald  Miller,4.28,21403,2017,10.1304747
The Untethered Soul: The Journey Beyond Yourself,Michael A. Singer,4.21,106101,2007,10.1257195
The 15 Invaluable Laws of Growth: Live Them and Reach Your Potential,John C. Maxwell,4.32,8352,2012,10.1217905
The Coddling of the American Mind: How Good Intentions and Bad Ideas Are Setting Up a Generation for Failure,Jonathan Haidt,4.25,40874,2018,10.1114471
Stolen Focus: Why You Can't Pay Attention- and How to Think Deeply Again,Johann Hari,4.24,45451,2022,10.0575434
Soundtracks: The Surprising Solution to Overthinking,Jon Acuff,4.32,7082,2021,10.0501559
The Power of Now: A Guide to Spiritual Enlightenment,Eckhart Tolle,4.15,352301,1997,10.0469139
"A Return to Love: Reflections on the Principles of ""A Course in Miracles""",Marianne Williamson,4.25,34014,1992,10.0316577
The Success Principles: How to Get from Where You Are to Where You Want to Be,Jack Canfield,4.25,33801,2004,10.0289295
"Winning the War in Your Mind: Change Your Thinking, Change Your Life",Craig Groeschel,4.3,10453,2021,10.019241
The Wisdom of Sundays: Life-Changing Insights from Super Soul Conversations,Oprah Winfrey,4.31,8285,2017,10.0182925
White Fragility: Why It’s So Hard for White People to Talk About Racism,Robin DiAngelo,4.18,161839,2018,10.0090832
The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,4.13,498841,2012,9.9979621
Think Like a Monk: Train Your Mind for Peace and Purpose Every Day,Jay Shetty,4.22,62548,2020,9.9962134
Black Box Thinking: Why Some People Never Learn from Their Mistakes - But Some Do,Matthew Syed,4.29,12298,2015,9.9898345
"Rich Dad, Poor Dad",Robert T. Kiyosaki,4.12,605371,1997,9.9820216
Fierce Love: Creating a Love that Lasts—One Conversation at a Time,Susan Scott,4.31,7570,2022,9.9790959
Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,4.18,150130,2016,9.9764675
A Gentle Reminder,Bianca Sparacino,4.28,14516,2021,9.961847
Discipline Is Destiny: The Power of Self-Control,Ryan Holiday,4.29,11465,,9.9593741
"The Compound Effect: Jumpstart Your Income, Your Life, Your Success",Darren Hardy,4.22,55774,2010,9.9464318
Keep Going: 10 Ways to Stay Creative in Good Times and Bad,Austin Kleon,4.28,13798,2019,9.9398161
Better: A Surgeon's Notes on Performance,Atul Gawande,4.24,33997,2007,9.9314406
